Transmission
1.87324100000000e-35	1.96142100000000e-35	2.25280000000000e-35	2.83750300000000e-35	3.88841100000000e-35	5.61899400000000e-35	7.96179700000000e-35	1.01621400000000e-34	1.17472900000000e-34	1.36768800000000e-34	1.77677500000000e-34	2.72158400000000e-34	5.02025000000000e-34	1.12232700000000e-33	3.08315500000000e-33	1.05369900000000e-32	3.43792200000000e-32	5.62302900000000e-32	7.78748900000000e-32	1.49635100000000e-31	3.98712200000000e-31	1.17742500000000e-30	1.52212300000000e-30	3.32156500000000e-31	4.11449600000000e-32	8.51280600000000e-33	2.94824300000000e-33	6.33802600000000e-34	2.29761100000000e-34	2.64283400000000e-34	3.22612500000000e-34	3.73746600000000e-34	1.69039000000000e-33	7.05714800000000e-33	3.64158000000000e-32	6.06192300000000e-31
1.59483600000000e-34	1.66626700000000e-34	1.89648100000000e-34	2.33058400000000e-34	3.01809000000000e-34	3.92113200000000e-34	4.81251700000000e-34	5.49528800000000e-34	6.19368500000000e-34	7.49059900000000e-34	1.03240700000000e-33	1.67347300000000e-33	3.23109000000000e-33	7.49527500000000e-33	2.13221700000000e-32	7.22360700000000e-32	1.86050800000000e-31	2.56673800000000e-31	3.75389700000000e-31	7.68141600000000e-31	2.09371000000000e-30	5.59456600000000e-30	4.90572900000000e-30	8.60397800000000e-31	1.15590900000000e-31	2.79703200000000e-32	9.67268400000000e-33	2.11965400000000e-33	9.29721100000000e-34	1.21333200000000e-33	1.37575400000000e-33	1.84303400000000e-33	9.26367600000000e-33	3.52422400000000e-32	2.06240700000000e-31	3.15748800000000e-30
1.06177300000000e-33	1.10098500000000e-33	1.22132300000000e-33	1.42464300000000e-33	1.69202600000000e-33	1.96675000000000e-33	2.19614600000000e-33	2.42017800000000e-33	2.78729800000000e-33	3.54333400000000e-33	5.15883400000000e-33	8.77451100000000e-33	1.76113200000000e-32	4.22932800000000e-32	1.23884000000000e-31	3.93504000000000e-31	7.72466300000000e-31	9.95367400000000e-31	1.55640400000000e-30	3.36682800000000e-30	9.25796300000000e-30	2.12208600000000e-29	1.25301300000000e-29	1.90884200000000e-30	2.85224900000000e-31	7.96800800000000e-32	2.65536800000000e-32	6.16630000000000e-33	3.25436200000000e-33	4.66887600000000e-33	4.97941600000000e-33	7.74947000000000e-33	4.20905900000000e-32	1.48643000000000e-31	9.81036800000000e-31	1.36069800000000e-29
5.64636200000000e-33	5.78594400000000e-33	6.18790600000000e-33	6.78726200000000e-33	7.45898500000000e-33	8.09109700000000e-33	8.74495200000000e-33	9.74221500000000e-33	1.16722400000000e-32	1.55956800000000e-32	2.38185100000000e-32	4.21778400000000e-32	8.75697800000000e-32	2.17306100000000e-31	6.44607800000000e-31	1.77696000000000e-30	2.75202300000000e-30	3.55565000000000e-30	5.95082600000000e-30	1.34991800000000e-29	3.67200500000000e-29	6.78660300000000e-29	2.76848000000000e-29	3.92740300000000e-30	6.64269600000000e-31	2.10267000000000e-31	6.60931000000000e-32	1.68275100000000e-32	1.06077600000000e-32	1.61685500000000e-32	1.65632100000000e-32	2.99535400000000e-32	1.70452900000000e-31	5.71186500000000e-31	4.21129000000000e-30	5.22666400000000e-29
2.40137800000000e-32	2.43393200000000e-32	2.52373900000000e-32	2.65033800000000e-32	2.79473700000000e-32	2.96645800000000e-32	3.22786400000000e-32	3.70771400000000e-32	4.63787100000000e-32	6.48321000000000e-32	1.03123600000000e-31	1.88962200000000e-31	4.04753400000000e-31	1.03422000000000e-30	3.00224700000000e-30	6.69667500000000e-30	8.88014100000000e-30	1.19523500000000e-29	2.13275400000000e-29	5.02730000000000e-29	1.31597400000000e-28	1.84496600000000e-28	5.46708200000000e-29	7.65202400000000e-30	1.47972700000000e-30	5.17579600000000e-31	1.52620200000000e-31	4.37217600000000e-32	3.26338100000000e-32	5.10899700000000e-32	5.16137400000000e-32	1.08232100000000e-31	6.26150900000000e-31	2.04054400000000e-30	1.66354500000000e-29	1.83508400000000e-28
8.80489800000000e-32	8.87001600000000e-32	9.05520900000000e-32	9.34616900000000e-32	9.76891500000000e-32	1.04454200000000e-31	1.16453000000000e-31	1.38678000000000e-31	1.80670500000000e-31	2.62651300000000e-31	4.32341600000000e-31	8.16337100000000e-31	1.80111700000000e-30	4.69205500000000e-30	1.25981300000000e-29	2.21608400000000e-29	2.74316000000000e-29	3.90917400000000e-29	7.39197800000000e-29	1.79025300000000e-28	4.34271700000000e-28	4.40079800000000e-28	1.01083100000000e-28	1.46235300000000e-29	3.24696000000000e-30	1.21724700000000e-30	3.40189100000000e-31	1.11681300000000e-31	9.77036900000000e-32	1.52288500000000e-31	1.56147300000000e-31	3.78137600000000e-31	2.16180400000000e-30	7.02583900000000e-30	6.25923800000000e-29	6.12080100000000e-28
2.87743300000000e-31	2.89433200000000e-31	2.94682800000000e-31	3.04389600000000e-31	3.21101300000000e-31	3.50292400000000e-31	4.02257400000000e-31	4.96170300000000e-31	6.70171700000000e-31	1.00730300000000e-30	1.70753300000000e-30	3.31495400000000e-30	7.51627000000000e-30	1.95301700000000e-29	4.53026900000000e-29	6.50584300000000e-29	8.01252400000000e-29	1.21433600000000e-28	2.41742500000000e-28	5.93070400000000e-28	1.27132200000000e-27	9.09079300000000e-28	1.73576600000000e-28	2.68672500000000e-29	6.83791400000000e-30	2.65521700000000e-30	7.19204200000000e-31	2.73450900000000e-31	2.76824200000000e-31	4.18591200000000e-31	4.47535400000000e-31	1.24341400000000e-30	6.85493500000000e-30	2.27405000000000e-29	2.18544500000000e-28	1.89960900000000e-27
8.75207800000000e-31	8.81333900000000e-31	9.01152100000000e-31	9.39719400000000e-31	1.00785200000000e-30	1.12594300000000e-30	1.33139000000000e-30	1.69520700000000e-30	2.36196700000000e-30	3.65235400000000e-30	6.35574500000000e-30	1.26716600000000e-29	2.93332500000000e-29	7.30745700000000e-29	1.38979400000000e-28	1.75138700000000e-28	2.22661300000000e-28	3.58427300000000e-28	7.45825000000000e-28	1.81841200000000e-27	3.26051600000000e-27	1.65151500000000e-27	2.80475500000000e-28	4.75958700000000e-29	1.37916400000000e-29	5.36438500000000e-30	1.45084400000000e-30	6.42120500000000e-31	7.40709000000000e-31	1.06670800000000e-30	1.21732400000000e-30	3.84690100000000e-30	2.00576200000000e-29	6.92881100000000e-29	7.08121800000000e-28	5.50615800000000e-27
2.55500900000000e-30	2.57866400000000e-30	2.65532100000000e-30	2.80393300000000e-30	3.06284300000000e-30	3.50269800000000e-30	4.25383000000000e-30	5.56793100000000e-30	7.96607300000000e-30	1.26262100000000e-29	2.25173400000000e-29	4.60182500000000e-29	1.07073600000000e-28	2.41788000000000e-28	3.74369400000000e-28	4.45680700000000e-28	5.95145400000000e-28	1.01366800000000e-27	2.18625700000000e-27	5.16130400000000e-27	7.32075000000000e-27	2.70537700000000e-27	4.34281300000000e-28	8.21032600000000e-29	2.67737200000000e-29	1.01422400000000e-29	2.82824300000000e-30	1.45882300000000e-30	1.88302400000000e-30	2.55760600000000e-30	3.17444200000000e-30	1.12890700000000e-29	5.49154200000000e-29	2.00719300000000e-28	2.14767700000000e-27	1.50782300000000e-26
7.00926000000000e-30	7.09219400000000e-30	7.35942400000000e-30	7.87172400000000e-30	8.75113300000000e-30	1.02232500000000e-29	1.27091300000000e-29	1.70338100000000e-29	2.49340200000000e-29	4.04204600000000e-29	7.38089600000000e-29	1.53824200000000e-28	3.49373700000000e-28	6.76320900000000e-28	8.89369800000000e-28	1.05589100000000e-27	1.49041900000000e-27	2.67353900000000e-27	5.91615500000000e-27	1.30730900000000e-26	1.40064400000000e-26	3.96587400000000e-27	6.32962100000000e-28	1.34482200000000e-28	4.85186100000000e-29	1.75685400000000e-29	5.20042200000000e-30	3.11844900000000e-30	4.40875100000000e-30	5.64142200000000e-30	7.71513800000000e-30	3.04716800000000e-29	1.37289800000000e-28	5.36930900000000e-28	5.91930100000000e-27	3.79887600000000e-26
