Wavelength(nm)	Emission
498.482091459132	0.0255639052698763
503.074944531068	0.0828349996012480
506.456854598192	0.132238301009927
509.353487211848	0.181317170363871
512.248528683243	0.235384971547817
514.657790235194	0.290703792833871
516.579534172863	0.352722072931113
518.496944341480	0.428328627881122
520.415108209062	0.501572004595867
522.330634130264	0.583086505134035
524.245783201984	0.665782594789835
526.165077618014	0.735481204151684
528.087009980424	0.796908689690110
530.493989499396	0.859382689521824
533.387523572860	0.918176847176297
537.738125235587	0.974071314442735
546.224021889853	1
556.019470496937	0.978261158760492
561.536170076021	0.928985357886942
565.921755932403	0.875188968733222
569.825288492004	0.810958996185028
573.726497146462	0.754015489862230
577.628459499885	0.694708805304169
582.015829110486	0.635319560993658
586.889548101972	0.572893784136617
591.759197119044	0.523229169750000
596.631257972806	0.466002385010539
601.017559843206	0.409960976533318
605.888339408726	0.356751594793806
610.758553700022	0.305314596730742
615.630149772755	0.249545105236360
626.343980569485	0.138392410997593
632.834333595696	0.0800501859329832
640.871061556861	0.0286728804825464
647.257368235384	0.00667930868310920
