Wavelength(nm)	Emission
364.137931034483	0.210743953674885
367.155172413793	0.249142808791176
371.379310344828	0.281136642900764
375	0.323801219933926
378.620689655172	0.366465796967088
382.844827586207	0.411262315225629
388.275862068966	0.456055154551943
392.500000000000	0.502985453501976
397.327586206897	0.554181474368879
403.362068965517	0.618176500452509
408.793103448276	0.690708488768220
416.034482758621	0.771770081451560
420.862068965517	0.842170128541892
428.103448275862	0.910429037076279
433.534482758621	0.959489437785577
438.965517241379	0.987212031579954
443.793103448276	1
449.827586206897	0.991446482572898
457.068965517241	0.972220382756109
464.310344827586	0.920987572566938
469.741379310345	0.874027842159092
476.379310344828	0.809994187287082
482.413793103448	0.760898836721630
489.051724137931	0.698998962541112
495.086206896552	0.645636050592676
501.724137931035	0.570933492263206
506.551724137931	0.511172917172520
511.379310344828	0.455679903464818
518.620689655172	0.374574163594758
524.051724137931	0.316945529729451
530.086206896552	0.246512372249078
539.137931034483	0.182471359512615
549.396551724138	0.126961790609893
557.241379310345	0.0885298251035618
566.293103448276	0.0650306455054482
577.758620689655	0.0457916694258657
592.241379310345	0.0286772767072084
605.517241379310	0.0179679049952541
