Wavelength(nm)	Emission
318.220885944939	0.0169193720137496
321.583674547209	0.0656993240264611
323.109967407734	0.130848989996814
324.016591292533	0.187409793250817
324.620019608014	0.227002355528619
325.219497492625	0.274136358240289
325.806136476907	0.345780042362027
327.001931901432	0.446081200132460
328.777354295443	0.631412098794744
329.673608299207	0.707769183187649
330.574306537699	0.775642147092453
332.085346345697	0.869910152515792
333.309486111719	0.916101475173228
337.010546033595	1
337.128894358426	0.972662278427232
341.408857004130	0.944381876800230
346.117276798005	0.892534473817394
351.754761118707	0.854408302735065
358.638562485402	0.820136645652269
361.154591906876	0.783183587526320
362.741677509132	0.732278864597717
364.013716249460	0.687030221994514
365.287236401363	0.638953539228611
366.562435486387	0.587671744278315
367.842177566912	0.527717292829071
369.427123352447	0.480897516802146
371.016842575284	0.424965166917632
373.555488213492	0.344837362307793
375.778099382053	0.272250998131822
377.676610617940	0.222603181942197
379.886053683600	0.175154952545783
382.632285058269	0.124295119143572
389.778920191255	0.0563772657123757
397.517690815761	0.0283325340989322
402.437582112177	0.0196127435972734
411.907094111535	0.0139566632718730
418.089330308240	0.0139566632718730
431.462780532795	0.00956894451074363
443.325529230420	0.0101859430549397
